date,revenue,order_count,items_sold,unique_customers,revenue_lag_1,orders_lag_1,revenue_lag_7,orders_lag_7,revenue_lag_14,orders_lag_14,revenue_lag_30,orders_lag_30,revenue_rolling_mean_7,revenue_rolling_std_7,revenue_rolling_min_7,revenue_rolling_max_7,revenue_rolling_mean_14,revenue_rolling_std_14,revenue_rolling_min_14,revenue_rolling_max_14,revenue_rolling_mean_30,revenue_rolling_std_30,revenue_rolling_min_30,revenue_rolling_max_30,day_of_week,day_of_month,week_of_year,month,quarter,year,is_weekend,is_month_start,is_month_end,is_holiday_season,revenue_growth_1d,revenue_growth_7d,revenue_growth_30d,cumulative_revenue,cumulative_orders
2017-01-20,4698.07,29,39.0,29,4140.16,29.0,2903.9700000000003,12.0,988.28,4.0,136.23,1.0,3341.7228571428573,1084.790905208834,1507.36,4683.38,2467.761428571429,1312.9882294384681,774.51,4683.38,3153.9423333333334,3456.004604009628,0.0,11914.65,4,20,3,1,1,2017,0,0,0,0,0.1347556616169423,0.6178094126316729,33.48630991705205,99316.34,597
2017-01-21,3094.76,24,36.0,21,4698.07,29.0,1507.36,18.0,1447.99,4.0,75.06,1.0,3598.022857142857,1172.522212024347,1507.36,4698.07,2732.746428571429,1364.7644908560796,774.51,4698.07,3306.0036666666665,3418.8076663055413,0.0,11914.65,5,21,3,1,1,2017,1,0,0,0,-0.34126992573546144,1.053099458656194,40.230482280842,102411.09999999999,621
2017-01-22,4280.22,31,33.0,31,3094.76,24.0,2551.34,14.0,809.63,6.0,40.95,1.0,3824.7942857142857,792.8088653191021,2551.34,4698.07,2850.3728571428574,1315.5963424910508,774.51,4698.07,3406.6603333333337,3364.422396959388,0.0,11914.65,6,22,3,1,1,2017,1,0,0,0,0.38305393633108875,0.6776360657536824,103.52307692307693,106691.31999999999,652
2017-01-23,7553.889999999999,39,54.0,39,4280.22,31.0,3712.2400000000002,19.0,774.51,5.0,0.0,1.0,4071.777142857143,567.1564191859242,3094.76,4698.07,3098.2721428571426,1225.3662948069473,774.51,4698.07,3547.969333333333,3306.716557348228,0.0,11914.65,0,23,4,1,1,2017,0,0,0,0,0.7648368541803923,1.0348603538564314,inf,114245.20999999999,691
2017-01-24,6794.5,40,44.0,40,7553.889999999999,39.0,3893.61,32.0,1571.17,6.0,109.34,1.0,4620.584285714286,1403.4194226585391,3094.76,7553.889999999999,3582.5135714285716,1536.4693936755302,1507.36,7553.889999999999,3799.7656666666667,3314.8263049181214,19.62,11914.65,1,24,4,1,1,2017,0,0,0,0,-0.10052966087671378,0.7450386659167199,61.14102798609841,121039.70999999999,731
2017-01-25,10434.31,63,69.0,63,6794.5,40.0,4683.38,33.0,3062.33,12.0,595.14,8.0,5034.9971428571425,1571.239864085196,3094.76,7553.889999999999,3955.608571428572,1641.1101336213626,1507.36,7553.889999999999,4022.6043333333337,3282.732301346131,19.62,11914.65,2,25,4,1,1,2017,0,0,0,0,0.5356994628007947,1.2279443478855012,16.532530160970527,131474.02,794
2017-01-26,15191.96,86,100.0,83,10434.31,63.0,4140.16,29.0,2502.69,13.0,11914.65,63.0,5856.558571428571,2553.330201608794,3094.76,10434.31,4482.178571428572,2358.387881658072,1507.36,10434.31,4350.576666666667,3417.243756069415,19.62,11914.65,3,26,4,1,1,2017,0,0,0,0,0.45596210961721484,2.669413742464059,0.2750655705371119,146665.97999999998,880
2017-01-27,12904.13,62,76.0,61,15191.96,86.0,4698.07,29.0,2903.9700000000003,12.0,10212.22,47.0,7435.387142857143,4200.630287658087,3094.76,15191.96,5388.555,3633.029062791606,1507.36,15191.96,4459.820333333334,3707.45499468346,19.62,15191.96,4,27,4,1,1,2017,0,0,0,0,-0.15059478829591444,1.7466874695353622,0.2635969456200513,159570.11,942
2017-01-28,5909.98,29,30.0,29,12904.13,62.0,3094.76,24.0,1507.36,18.0,9398.61,51.0,8607.68142857143,4447.210641369967,3094.76,15191.96,6102.852142857142,4064.4170881749933,1507.36,15191.96,4549.550666666666,3880.0380882879303,19.62,15191.96,5,28,4,1,1,2017,1,0,0,0,-0.5420086437442897,0.9096731248949834,-0.37118573916781317,165480.09,971
2017-01-29,7160.66,35,47.0,34,5909.98,29.0,4280.22,31.0,2551.34,14.0,8255.19,46.0,9009.855714285713,3966.9294624384097,4280.22,15191.96,6417.325,3845.951603805166,2551.34,15191.96,4433.263000000001,3780.703630646066,19.62,15191.96,6,29,4,1,1,2017,1,0,0,0,0.21162169753535554,0.6729654083201329,-0.13258689382073585,172640.75,1006
