Feature,Importance
recency_days,0.5038550052428754
R_score,0.43373849938014564
RFM_numeric,0.03890473804347606
avg_delivery_time,0.011053454044119549
F_score,0.004866275718843965
total_spent,0.002515961081937851
M_score,0.0018265503493938903
avg_order_value,0.0014785350911285715
late_delivery_rate,0.0005524662860996123
avg_review_given,0.0003942560170523131
purchase_frequency_rate,0.00022704842418594953
customer_tenure_days,0.00022063365201015962
avg_days_between_orders,0.0001241325616435064
avg_installments,0.0001075577495770223
total_orders,9.188144113747949e-05
total_items_bought,2.5711768523405865e-05
avg_items_per_order,1.7293147849456238e-05
